MCC,MWT Cat Mapping,sub_category,Master Category,Citi Bank Category
312,not provided,Others,Transfer out,Agricultural Services
313,not provided,Others,Transfer out,Agricultural Services
314,not provided,Others,Transfer out,Agricultural Services
315,not provided,Others,Transfer out,Agricultural Services
316,not provided,Others,Transfer out,Agricultural Services
317,not provided,Others,Transfer out,Agricultural Services
318,not provided,Others,Transfer out,Agricultural Services
319,not provided,Others,Transfer out,Agricultural Services
320,not provided,Others,Transfer out,Agricultural Services
321,not provided,Others,Transfer out,Agricultural Services
322,not provided,Others,Transfer out,Agricultural Services
323,not provided,Others,Transfer out,Agricultural Services
324,not provided,Others,Transfer out,Agricultural Services
325,not provided,Others,Transfer out,Agricultural Services
326,not provided,Others,Transfer out,Agricultural Services
327,not provided,Others,Transfer out,Agricultural Services
328,not provided,Others,Transfer out,Agricultural Services
329,not provided,Others,Transfer out,Agricultural Services
330,not provided,Others,Transfer out,Agricultural Services
331,not provided,Others,Transfer out,Agricultural Services
332,not provided,Others,Transfer out,Agricultural Services
333,not provided,Others,Transfer out,Agricultural Services
334,not provided,Others,Transfer out,Agricultural Services
335,not provided,Others,Transfer out,Agricultural Services
336,not provided,Others,Transfer out,Agricultural Services
337,not provided,Others,Transfer out,Agricultural Services
338,not provided,Others,Transfer out,Agricultural Services
339,not provided,Others,Transfer out,Agricultural Services
340,not provided,Others,Transfer out,Agricultural Services
341,not provided,Others,Transfer out,Agricultural Services
342,not provided,Others,Transfer out,Agricultural Services
343,not provided,Others,Transfer out,Agricultural Services
344,not provided,Others,Transfer out,Agricultural Services
345,not provided,Others,Transfer out,Agricultural Services
346,not provided,Others,Transfer out,Agricultural Services
347,not provided,Others,Transfer out,Agricultural Services
348,not provided,Others,Transfer out,Agricultural Services
349,not provided,Others,Transfer out,Agricultural Services
350,not provided,Others,Transfer out,Agricultural Services
351,not provided,Others,Transfer out,Agricultural Services
352,not provided,Others,Transfer out,Agricultural Services
353,not provided,Others,Transfer out,Agricultural Services
354,not provided,Others,Transfer out,Agricultural Services
355,not provided,Others,Transfer out,Agricultural Services
356,not provided,Others,Transfer out,Agricultural Services
357,not provided,Others,Transfer out,Agricultural Services
358,not provided,Others,Transfer out,Agricultural Services
359,not provided,Others,Transfer out,Agricultural Services
360,not provided,Others,Transfer out,Agricultural Services
361,not provided,Others,Transfer out,Agricultural Services
362,not provided,Others,Transfer out,Agricultural Services
363,not provided,Others,Transfer out,Agricultural Services
364,not provided,Others,Transfer out,Agricultural Services
365,not provided,Others,Transfer out,Agricultural Services
366,not provided,Others,Transfer out,Agricultural Services
367,not provided,Others,Transfer out,Agricultural Services
368,not provided,Others,Transfer out,Agricultural Services
369,not provided,Others,Transfer out,Agricultural Services
370,not provided,Others,Transfer out,Agricultural Services
371,not provided,Others,Transfer out,Agricultural Services
372,not provided,Others,Transfer out,Agricultural Services
373,not provided,Others,Transfer out,Agricultural Services
374,not provided,Others,Transfer out,Agricultural Services
375,not provided,Others,Transfer out,Agricultural Services
376,not provided,Others,Transfer out,Agricultural Services
377,not provided,Others,Transfer out,Agricultural Services
378,not provided,Others,Transfer out,Agricultural Services
379,not provided,Others,Transfer out,Agricultural Services
380,not provided,Others,Transfer out,Agricultural Services
381,not provided,Others,Transfer out,Agricultural Services
382,not provided,Others,Transfer out,Agricultural Services
383,not provided,Others,Transfer out,Agricultural Services
384,not provided,Others,Transfer out,Agricultural Services
385,not provided,Others,Transfer out,Agricultural Services
386,not provided,Others,Transfer out,Agricultural Services
387,not provided,Others,Transfer out,Agricultural Services
388,not provided,Others,Transfer out,Agricultural Services
389,not provided,Others,Transfer out,Agricultural Services
390,not provided,Others,Transfer out,Agricultural Services
391,not provided,Others,Transfer out,Agricultural Services
392,not provided,Others,Transfer out,Agricultural Services
393,not provided,Others,Transfer out,Agricultural Services
394,not provided,Others,Transfer out,Agricultural Services
395,not provided,Others,Transfer out,Agricultural Services
396,not provided,Others,Transfer out,Agricultural Services
397,not provided,Others,Transfer out,Agricultural Services
398,not provided,Others,Transfer out,Agricultural Services
399,not provided,Others,Transfer out,Agricultural Services
400,not provided,Others,Transfer out,Agricultural Services
401,not provided,Others,Transfer out,Agricultural Services
402,not provided,Others,Transfer out,Agricultural Services
403,not provided,Others,Transfer out,Agricultural Services
404,not provided,Others,Transfer out,Agricultural Services
405,not provided,Others,Transfer out,Agricultural Services
406,not provided,Others,Transfer out,Agricultural Services
